X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
0.08,0.16,0.07,0.1,0.12,0.13,0.09,0.11,0.08,0.06,0.11,0.11,0.08,0.05,0.17,0.11,0.11,0.11,0.1,0.02,0.08,0.11,0.08,0.09,0.16,0.14,0.11,0.11,0.09,0.06,0,9.82,-0.37,2112.5,389.58,4225.0,9.54,6.91,3.67,11.29,8.23,11.29,16.32,Jogging
0.12,0.14,0.12,0.12,0.08,0.08,0.14,0.08,0.1,0.05,0.07,0.13,0.09,0.11,0.09,0.11,0.1,0.1,0.1,0.13,0.13,0.11,0.13,0.09,0.1,0.12,0.1,0.1,0.04,0.1,0,9.41,1.14,300.0,1462.5,2550.0,2.94,3.68,2.12,3.64,4.47,3.64,10.61,Walking
0.03,0.1,0.06,0.05,0.08,0.08,0.18,0.13,0.13,0.0,0.08,0.17,0.1,0.18,0.17,0.05,0.1,0.04,0.02,0.0,0.18,0.14,0.14,0.11,0.07,0.1,0.08,0.06,0.09,0.0,0,8.65,-1.28,1300.0,2516.67,1900.0,6.31,3.13,2.76,7.49,4.03,7.49,11.89,Walking
0.08,0.11,0.1,0.1,0.1,0.09,0.08,0.1,0.13,0.13,0.1,0.12,0.08,0.13,0.08,0.1,0.08,0.12,0.13,0.09,0.1,0.07,0.15,0.1,0.04,0.11,0.13,0.12,0.1,0.1,0,9.34,2.93,2383.33,1591.67,3925.0,1.87,3.26,2.73,2.36,4.11,2.36,10.49,Downstairs
0.11,0.09,0.11,0.11,0.11,0.07,0.09,0.12,0.11,0.1,0.1,0.11,0.12,0.09,0.1,0.1,0.1,0.1,0.08,0.07,0.07,0.09,0.1,0.11,0.14,0.11,0.1,0.09,0.14,0.07,0,10.68,-0.94,4600.0,575.0,3575.0,5.01,4.29,2.21,5.91,5.24,5.91,12.79,Walking
0.0,0.05,0.05,0.03,0.06,0.09,0.11,0.17,0.26,0.21,0.07,0.07,0.08,0.11,0.1,0.08,0.12,0.12,0.11,0.18,0.04,0.06,0.09,0.1,0.09,0.1,0.1,0.13,0.14,0.18,0,8.63,2.29,175.0,694.44,1125.0,3.63,5.79,3.45,4.65,6.73,4.65,11.32,Jogging
0.07,0.11,0.11,0.13,0.1,0.12,0.1,0.07,0.09,0.04,0.08,0.14,0.09,0.12,0.1,0.08,0.09,0.09,0.11,0.12,0.13,0.12,0.06,0.1,0.12,0.08,0.06,0.14,0.11,0.12,0,0.64,1.8,320.0,2566.67,1310.0,7.27,3.07,4.88,10.05,3.82,10.05,10.16,Jogging
0.08,0.09,0.1,0.1,0.1,0.07,0.14,0.11,0.09,0.0,0.14,0.13,0.1,0.08,0.11,0.11,0.09,0.11,0.11,0.04,0.07,0.13,0.07,0.12,0.11,0.15,0.12,0.05,0.12,0.09,0,-0.79,-0.18,710.0,1625.0,1350.0,9.32,6.76,2.42,11.76,8.36,11.76,12.81,Jogging
0.18,0.08,0.11,0.13,0.05,0.09,0.12,0.1,0.09,0.08,0.11,0.13,0.14,0.08,0.14,0.11,0.08,0.11,0.07,0.06,0.53,0.17,0.09,0.09,0.02,0.03,0.05,0.03,0.0,0.01,0,2.78,-3.65,1212.5,800.0,2150.0,8.78,1.29,2.1,9.4,1.65,9.4,10.42,Walking
0.13,0.08,0.11,0.12,0.09,0.08,0.05,0.13,0.11,0.11,0.14,0.15,0.1,0.07,0.09,0.06,0.12,0.08,0.12,0.1,0.13,0.12,0.1,0.09,0.14,0.11,0.07,0.05,0.11,0.1,0,5.53,-0.32,763.64,1540.0,3850.0,8.38,3.12,2.43,10.06,4.27,10.06,11.41,Walking
0.09,0.1,0.09,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.12,0.09,0.09,0.11,0.09,0.12,0.08,0.1,0.12,0.09,0.12,0.09,0.12,0.09,0.11,0.1,0.11,0.07,0.11,0,9.95,1.04,2700.0,589.29,3325.0,2.2,3.9,3.01,2.99,4.97,2.99,11.2,Upstairs
0.08,0.07,0.08,0.08,0.05,0.08,0.14,0.1,0.15,0.16,0.12,0.09,0.09,0.12,0.11,0.08,0.11,0.09,0.1,0.1,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0,9.06,1.38,1283.33,845.45,1533.33,2.26,2.7,1.3,2.68,3.4,2.68,9.78,Upstairs
0.05,0.05,0.03,0.03,0.03,0.04,0.04,0.05,0.04,0.08,0.06,0.03,0.06,0.04,0.05,0.05,0.02,0.04,0.04,0.06,0.03,0.02,0.05,0.03,0.05,0.04,0.03,0.06,0.05,0.08,0,4.27,-0.27,300.0,766.67,425.0,1.18,2.38,0.9,3.14,6.29,3.14,4.69,Upstairs
0.19,0.12,0.12,0.11,0.1,0.13,0.13,0.06,0.02,0.05,0.11,0.13,0.16,0.08,0.11,0.14,0.13,0.1,0.07,0.0,0.11,0.14,0.11,0.09,0.06,0.08,0.09,0.11,0.09,0.15,0,-0.82,1.55,1450.0,1825.0,3133.33,9.48,5.82,5.2,11.78,6.92,11.78,13.83,Jogging
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.17,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0,0.63,2.07,261.11,371.43,400.0,2.47,0.42,1.39,7.62,1.3,7.62,3.28,Sitting
0.13,0.1,0.07,0.09,0.07,0.1,0.09,0.07,0.06,0.07,0.06,0.09,0.08,0.1,0.12,0.06,0.08,0.09,0.09,0.08,0.08,0.12,0.07,0.08,0.07,0.05,0.11,0.09,0.09,0.09,0,8.47,1.01,966.67,583.33,2550.0,2.56,2.84,2.67,3.85,4.39,3.85,9.73,Downstairs
0.0,0.16,0.15,0.09,0.11,0.14,0.09,0.12,0.07,0.08,0.08,0.12,0.11,0.1,0.07,0.11,0.1,0.16,0.12,0.06,0.1,0.08,0.09,0.15,0.09,0.12,0.1,0.11,0.1,0.08,0,-0.22,0.25,3300.0,912.5,2166.67,10.23,3.4,5.13,12.18,4.42,12.18,13.05,Jogging
0.05,0.05,0.1,0.1,0.08,0.17,0.14,0.11,0.09,0.13,0.11,0.15,0.09,0.16,0.11,0.1,0.09,0.1,0.09,0.03,0.08,0.1,0.15,0.11,0.09,0.1,0.04,0.11,0.14,0.1,0,6.22,-0.51,1612.5,3033.33,2875.0,8.05,2.01,1.77,8.57,2.58,8.57,10.76,Upstairs
0.05,0.09,0.12,0.11,0.14,0.08,0.06,0.05,0.04,0.06,0.24,0.17,0.14,0.06,0.04,0.04,0.02,0.03,0.03,0.05,0.06,0.07,0.06,0.07,0.04,0.09,0.09,0.14,0.12,0.08,0,-0.28,-1.63,1425.0,1500.0,1300.0,7.78,2.87,1.96,10.8,5.02,10.8,9.14,Upstairs
0.01,0.02,0.04,0.03,0.02,0.07,0.17,0.14,0.35,0.17,0.0,0.05,0.07,0.16,0.0,0.29,0.0,0.21,0.13,0.1,0.13,0.13,0.16,0.12,0.27,0.06,0.08,0.07,0.0,0.0,0,9.87,0.98,580.0,159.02,350.0,1.75,0.05,0.13,1.76,0.16,1.76,10.07,Standing
0.06,0.15,0.12,0.13,0.14,0.08,0.11,0.14,0.03,0.07,0.07,0.08,0.11,0.14,0.11,0.07,0.09,0.08,0.13,0.13,0.06,0.11,0.12,0.1,0.15,0.08,0.12,0.17,0.1,0.02,0,8.69,-2.27,4425.0,402.08,2075.0,3.8,6.2,2.06,4.8,6.92,4.8,10.85,Jogging
0.07,0.12,0.13,0.13,0.11,0.1,0.1,0.08,0.11,0.08,0.1,0.11,0.09,0.12,0.1,0.1,0.07,0.12,0.1,0.12,0.09,0.13,0.09,0.12,0.12,0.09,0.08,0.09,0.11,0.11,0,9.85,-1.98,3675.0,1143.75,2250.0,3.07,2.88,2.96,3.81,3.89,3.81,11.43,Downstairs
0.1,0.1,0.09,0.1,0.06,0.09,0.07,0.04,0.06,0.04,0.07,0.05,0.1,0.07,0.06,0.08,0.09,0.09,0.05,0.08,0.1,0.1,0.05,0.05,0.08,0.08,0.07,0.07,0.08,0.06,0,6.74,1.74,1725.0,1108.33,1500.0,1.3,2.58,1.51,2.21,4.59,2.21,7.37,Downstairs
0.21,0.23,0.2,0.0,0.12,0.07,0.0,0.06,0.02,0.11,0.1,0.11,0.0,0.0,0.21,0.0,0.0,0.19,0.14,0.26,0.07,0.03,0.0,0.02,0.04,0.0,0.04,0.11,0.17,0.52,0,9.32,1.23,510.71,203.19,275.0,3.12,0.09,0.1,3.13,0.21,3.13,9.91,Sitting
